"col_names","des"
"15_Q1140","What is the answer to 1 x 3?"
"15_Q1141","What is the answer to 1 x 4?"
"15_Q1142","What is the answer to 1 x 5?"
"15_Q1143","What is the answer to 1 x 6?"
"15_Q1144","What is the answer to 1 x 7?"
"15_Q1145","What is the answer to 1 x 8?"
"15_Q1146","What is the answer to 1 x 9?"
"15_Q1147","What is the answer to 1 x 10?"
"15_Q1148","What is the answer to 1 x 11?"
"15_Q1149","What is the answer to 1 x 12?"
"15_review1_choice","Would you like to continue practicing problems from the 1 times table?"
"Q1180","Please feel free to study the 2 times table below. Would you like to practice problems from the 2 times table?"
"Q1215","What is the answer to 2 x 1?"
"Q293...180","What is the answer to 2 x 2?"
"Q1216","What is the answer to 2 x 3?"
"Q1217","What is the answer to 2 x 4?"
"Q1218","What is the answer to 2 x 5?"
"Q1219","What is the answer to 2 x 6?"
"Q1220","What is the answer to 2 x 7?"
"Q1221","What is the answer to 2 x 8?"
"Q1222","What is the answer to 2 x 9?"
"Q1223","What is the answer to 2 x 10?"
"Q1224","What is the answer to 2 x 11?"
"Q1225","What is the answer to 2 x 12?"
"Q1226","Would you like to continue practicing the 2 times table?"
"1_Q1167","What is the answer to 2 x 1?"
"1_Q294","What is the answer to 2 x 2?"
"1_Q1168","What is the answer to 2 x 3?"
"1_Q1169","What is the answer to 2 x 4?"
"1_Q1170","What is the answer to 2 x 5?"
"1_Q1171","What is the answer to 2 x 6?"
"1_Q1172","What is the answer to 2 x 7?"
"1_Q1173","What is the answer to 2 x 8?"
"1_Q1174","What is the answer to 2 x 9?"
"1_Q1175","What is the answer to 2 x 10?"
"1_Q1176","What is the answer to 2 x 11?"
"1_Q1177","What is the answer to 2 x 12?"
"1_Q1178","Would you like to continue practicing the 2 times table?"
"2_Q1167","What is the answer to 2 x 1?"
"2_Q294","What is the answer to 2 x 2?"
"2_Q1168","What is the answer to 2 x 3?"
"2_Q1169","What is the answer to 2 x 4?"
"2_Q1170","What is the answer to 2 x 5?"
"2_Q1171","What is the answer to 2 x 6?"
"2_Q1172","What is the answer to 2 x 7?"
"2_Q1173","What is the answer to 2 x 8?"
"2_Q1174","What is the answer to 2 x 9?"
"2_Q1175","What is the answer to 2 x 10?"
"2_Q1176","What is the answer to 2 x 11?"
"2_Q1177","What is the answer to 2 x 12?"
"2_Q1178","Would you like to continue practicing the 2 times table?"
"3_Q1167","What is the answer to 2 x 1?"
"3_Q294","What is the answer to 2 x 2?"
"3_Q1168","What is the answer to 2 x 3?"
"3_Q1169","What is the answer to 2 x 4?"
"3_Q1170","What is the answer to 2 x 5?"
"3_Q1171","What is the answer to 2 x 6?"
"3_Q1172","What is the answer to 2 x 7?"
"3_Q1173","What is the answer to 2 x 8?"
"3_Q1174","What is the answer to 2 x 9?"
"3_Q1175","What is the answer to 2 x 10?"
"3_Q1176","What is the answer to 2 x 11?"
"3_Q1177","What is the answer to 2 x 12?"
"3_Q1178","Would you like to continue practicing the 2 times table?"
"4_Q1167","What is the answer to 2 x 1?"
"4_Q294","What is the answer to 2 x 2?"
"4_Q1168","What is the answer to 2 x 3?"
"4_Q1169","What is the answer to 2 x 4?"
"4_Q1170","What is the answer to 2 x 5?"
"4_Q1171","What is the answer to 2 x 6?"
"4_Q1172","What is the answer to 2 x 7?"
"4_Q1173","What is the answer to 2 x 8?"
"4_Q1174","What is the answer to 2 x 9?"
"4_Q1175","What is the answer to 2 x 10?"
"4_Q1176","What is the answer to 2 x 11?"
"4_Q1177","What is the answer to 2 x 12?"
"4_Q1178","Would you like to continue practicing the 2 times table?"
"6_Q1167","What is the answer to 2 x 1?"
"6_Q294","What is the answer to 2 x 2?"
"6_Q1168","What is the answer to 2 x 3?"
"6_Q1169","What is the answer to 2 x 4?"
"6_Q1170","What is the answer to 2 x 5?"
"6_Q1171","What is the answer to 2 x 6?"
"6_Q1172","What is the answer to 2 x 7?"
"6_Q1173","What is the answer to 2 x 8?"
"6_Q1174","What is the answer to 2 x 9?"
"6_Q1175","What is the answer to 2 x 10?"
"6_Q1176","What is the answer to 2 x 11?"
"6_Q1177","What is the answer to 2 x 12?"
"6_Q1178","Would you like to continue practicing the 2 times table?"
"7_Q1167","What is the answer to 2 x 1?"
"7_Q294","What is the answer to 2 x 2?"
"7_Q1168","What is the answer to 2 x 3?"
"7_Q1169","What is the answer to 2 x 4?"
"7_Q1170","What is the answer to 2 x 5?"
"7_Q1171","What is the answer to 2 x 6?"
"7_Q1172","What is the answer to 2 x 7?"
"7_Q1173","What is the answer to 2 x 8?"
"7_Q1174","What is the answer to 2 x 9?"
"7_Q1175","What is the answer to 2 x 10?"
"7_Q1176","What is the answer to 2 x 11?"
"7_Q1177","What is the answer to 2 x 12?"
"7_Q1178","Would you like to continue practicing the 2 times table?"
"8_Q1167","What is the answer to 2 x 1?"
"8_Q294","What is the answer to 2 x 2?"
"8_Q1168","What is the answer to 2 x 3?"
"8_Q1169","What is the answer to 2 x 4?"
"8_Q1170","What is the answer to 2 x 5?"
"8_Q1171","What is the answer to 2 x 6?"
"8_Q1172","What is the answer to 2 x 7?"
"8_Q1173","What is the answer to 2 x 8?"
"8_Q1174","What is the answer to 2 x 9?"
"8_Q1175","What is the answer to 2 x 10?"
"8_Q1176","What is the answer to 2 x 11?"
"8_Q1177","What is the answer to 2 x 12?"
"8_Q1178","Would you like to continue practicing the 2 times table?"
"9_Q1167","What is the answer to 2 x 1?"
"9_Q294","What is the answer to 2 x 2?"
"9_Q1168","What is the answer to 2 x 3?"
"9_Q1169","What is the answer to 2 x 4?"
"9_Q1170","What is the answer to 2 x 5?"
"9_Q1171","What is the answer to 2 x 6?"
"9_Q1172","What is the answer to 2 x 7?"
"9_Q1173","What is the answer to 2 x 8?"
"9_Q1174","What is the answer to 2 x 9?"
"9_Q1175","What is the answer to 2 x 10?"
"9_Q1176","What is the answer to 2 x 11?"
"9_Q1177","What is the answer to 2 x 12?"
"9_Q1178","Would you like to continue practicing the 2 times table?"
"10_Q1167","What is the answer to 2 x 1?"
"10_Q294","What is the answer to 2 x 2?"
"10_Q1168","What is the answer to 2 x 3?"
"10_Q1169","What is the answer to 2 x 4?"
"10_Q1170","What is the answer to 2 x 5?"
"10_Q1171","What is the answer to 2 x 6?"
"10_Q1172","What is the answer to 2 x 7?"
"10_Q1173","What is the answer to 2 x 8?"
"10_Q1174","What is the answer to 2 x 9?"
"10_Q1175","What is the answer to 2 x 10?"
"10_Q1176","What is the answer to 2 x 11?"
"10_Q1177","What is the answer to 2 x 12?"
"10_Q1178","Would you like to continue practicing the 2 times table?"
"11_Q1167","What is the answer to 2 x 1?"
"11_Q294","What is the answer to 2 x 2?"
"11_Q1168","What is the answer to 2 x 3?"
"11_Q1169","What is the answer to 2 x 4?"
"11_Q1170","What is the answer to 2 x 5?"
"11_Q1171","What is the answer to 2 x 6?"
"11_Q1172","What is the answer to 2 x 7?"
"11_Q1173","What is the answer to 2 x 8?"
"11_Q1174","What is the answer to 2 x 9?"
"11_Q1175","What is the answer to 2 x 10?"
"11_Q1176","What is the answer to 2 x 11?"
"11_Q1177","What is the answer to 2 x 12?"
"11_Q1178","Would you like to continue practicing the 2 times table?"
"12_Q1167","What is the answer to 2 x 1?"
"12_Q294","What is the answer to 2 x 2?"
"12_Q1168","What is the answer to 2 x 3?"
"12_Q1169","What is the answer to 2 x 4?"
"12_Q1170","What is the answer to 2 x 5?"
"12_Q1171","What is the answer to 2 x 6?"
"12_Q1172","What is the answer to 2 x 7?"
"12_Q1173","What is the answer to 2 x 8?"
"12_Q1174","What is the answer to 2 x 9?"
"12_Q1175","What is the answer to 2 x 10?"
"12_Q1176","What is the answer to 2 x 11?"
"12_Q1177","What is the answer to 2 x 12?"
"12_Q1178","Would you like to continue practicing the 2 times table?"
"13_Q1167","What is the answer to 2 x 1?"
"13_Q294","What is the answer to 2 x 2?"
"13_Q1168","What is the answer to 2 x 3?"
"13_Q1169","What is the answer to 2 x 4?"
"13_Q1170","What is the answer to 2 x 5?"
"13_Q1171","What is the answer to 2 x 6?"
"13_Q1172","What is the answer to 2 x 7?"
"13_Q1173","What is the answer to 2 x 8?"
"13_Q1174","What is the answer to 2 x 9?"
"13_Q1175","What is the answer to 2 x 10?"
"13_Q1176","What is the answer to 2 x 11?"
"13_Q1177","What is the answer to 2 x 12?"
"13_Q1178","Would you like to continue practicing the 2 times table?"
"14_Q1167","What is the answer to 2 x 1?"
"14_Q294","What is the answer to 2 x 2?"
"14_Q1168","What is the answer to 2 x 3?"
"14_Q1169","What is the answer to 2 x 4?"
"14_Q1170","What is the answer to 2 x 5?"
"14_Q1171","What is the answer to 2 x 6?"
"14_Q1172","What is the answer to 2 x 7?"
"14_Q1173","What is the answer to 2 x 8?"
"14_Q1174","What is the answer to 2 x 9?"
"14_Q1175","What is the answer to 2 x 10?"
"14_Q1176","What is the answer to 2 x 11?"
"14_Q1177","What is the answer to 2 x 12?"
"14_Q1178","Would you like to continue practicing the 2 times table?"
"15_Q1167","What is the answer to 2 x 1?"
"15_Q294","What is the answer to 2 x 2?"
"15_Q1168","What is the answer to 2 x 3?"
"15_Q1169","What is the answer to 2 x 4?"
"15_Q1170","What is the answer to 2 x 5?"
"15_Q1171","What is the answer to 2 x 6?"
"15_Q1172","What is the answer to 2 x 7?"
"15_Q1173","What is the answer to 2 x 8?"
"15_Q1174","What is the answer to 2 x 9?"
"15_Q1175","What is the answer to 2 x 10?"
"15_Q1176","What is the answer to 2 x 11?"
"15_Q1177","What is the answer to 2 x 12?"
"15_Q1178","Would you like to continue practicing the 2 times table?"
"Q1182","Please feel free to study the 3 times table below. Would you like to practice problems from the 3 times table?"
"Q1242","What is the answer to 3 x 1?"
"Q1243","What is the answer to 3 x 2?"
"Q1244","What is the answer to 3 x 3?"
"Q1245","What is the answer to 3 x 4?"
"Q1246","What is the answer to 3 x 5?"
"Q1247","What is the answer to 3 x 6?"
"Q1248","What is the answer to 3 x 7?"
"Q1249","What is the answer to 3 x 8?"
"Q1250","What is the answer to 3 x 9?"
"Q1251","What is the answer to 3 x 10?"
"Q1252","What is the answer to 3 x 11?"
"Q1253","What is the answer to 3 x 12?"
"Q1254","Would you like to continue practicing the 3 times table?"
"1_Q1372","What is the answer to 3 x 1?"
"1_Q1373","What is the answer to 3 x 2?"
"1_Q1374","What is the answer to 3 x 3?"
"1_Q1375","What is the answer to 3 x 4?"
"1_Q1376","What is the answer to 3 x 5?"
"1_Q1377","What is the answer to 3 x 6?"
"1_Q1378","What is the answer to 3 x 7?"
"1_Q1379","What is the answer to 3 x 8?"
"1_Q1380","What is the answer to 3 x 9?"
"1_Q1381","What is the answer to 3 x 10?"
"1_Q1382","What is the answer to 3 x 11?"
"1_Q1383","What is the answer to 3 x 12?"
"1_Q1384","Would you like to continue practicing the 3 times table?"
"2_Q1372","What is the answer to 3 x 1?"
"2_Q1373","What is the answer to 3 x 2?"
"2_Q1374","What is the answer to 3 x 3?"
"2_Q1375","What is the answer to 3 x 4?"
"2_Q1376","What is the answer to 3 x 5?"
"2_Q1377","What is the answer to 3 x 6?"
"2_Q1378","What is the answer to 3 x 7?"
"2_Q1379","What is the answer to 3 x 8?"
"2_Q1380","What is the answer to 3 x 9?"
"2_Q1381","What is the answer to 3 x 10?"
"2_Q1382","What is the answer to 3 x 11?"
"2_Q1383","What is the answer to 3 x 12?"
"2_Q1384","Would you like to continue practicing the 3 times table?"
"3_Q1372","What is the answer to 3 x 1?"
"3_Q1373","What is the answer to 3 x 2?"
"3_Q1374","What is the answer to 3 x 3?"
"3_Q1375","What is the answer to 3 x 4?"
"3_Q1376","What is the answer to 3 x 5?"
"3_Q1377","What is the answer to 3 x 6?"
"3_Q1378","What is the answer to 3 x 7?"
"3_Q1379","What is the answer to 3 x 8?"
"3_Q1380","What is the answer to 3 x 9?"
"3_Q1381","What is the answer to 3 x 10?"
"3_Q1382","What is the answer to 3 x 11?"
"3_Q1383","What is the answer to 3 x 12?"
"3_Q1384","Would you like to continue practicing the 3 times table?"
"4_Q1372","What is the answer to 3 x 1?"
"4_Q1373","What is the answer to 3 x 2?"
"4_Q1374","What is the answer to 3 x 3?"
"4_Q1375","What is the answer to 3 x 4?"
"4_Q1376","What is the answer to 3 x 5?"
"4_Q1377","What is the answer to 3 x 6?"
"4_Q1378","What is the answer to 3 x 7?"
"4_Q1379","What is the answer to 3 x 8?"
"4_Q1380","What is the answer to 3 x 9?"
"4_Q1381","What is the answer to 3 x 10?"
"4_Q1382","What is the answer to 3 x 11?"
"4_Q1383","What is the answer to 3 x 12?"
"4_Q1384","Would you like to continue practicing the 3 times table?"
"5_Q1372","What is the answer to 3 x 1?"
"5_Q1373","What is the answer to 3 x 2?"
"5_Q1374","What is the answer to 3 x 3?"
"5_Q1375","What is the answer to 3 x 4?"
"5_Q1376","What is the answer to 3 x 5?"
"5_Q1377","What is the answer to 3 x 6?"
"5_Q1378","What is the answer to 3 x 7?"
"5_Q1379","What is the answer to 3 x 8?"
"5_Q1380","What is the answer to 3 x 9?"
"5_Q1381","What is the answer to 3 x 10?"
"5_Q1382","What is the answer to 3 x 11?"
"5_Q1383","What is the answer to 3 x 12?"
"5_Q1384","Would you like to continue practicing the 3 times table?"
"6_Q1372","What is the answer to 3 x 1?"
"6_Q1373","What is the answer to 3 x 2?"
"6_Q1374","What is the answer to 3 x 3?"
"6_Q1375","What is the answer to 3 x 4?"
"6_Q1376","What is the answer to 3 x 5?"
"6_Q1377","What is the answer to 3 x 6?"
"6_Q1378","What is the answer to 3 x 7?"
"6_Q1379","What is the answer to 3 x 8?"
"6_Q1380","What is the answer to 3 x 9?"
"6_Q1381","What is the answer to 3 x 10?"
"6_Q1382","What is the answer to 3 x 11?"
"6_Q1383","What is the answer to 3 x 12?"
"6_Q1384","Would you like to continue practicing the 3 times table?"
"7_Q1372","What is the answer to 3 x 1?"
"7_Q1373","What is the answer to 3 x 2?"
"7_Q1374","What is the answer to 3 x 3?"
"7_Q1375","What is the answer to 3 x 4?"
"7_Q1376","What is the answer to 3 x 5?"
"7_Q1377","What is the answer to 3 x 6?"
"7_Q1378","What is the answer to 3 x 7?"
"7_Q1379","What is the answer to 3 x 8?"
"7_Q1380","What is the answer to 3 x 9?"
"7_Q1381","What is the answer to 3 x 10?"
"7_Q1382","What is the answer to 3 x 11?"
"7_Q1383","What is the answer to 3 x 12?"
"7_Q1384","Would you like to continue practicing the 3 times table?"
"8_Q1372","What is the answer to 3 x 1?"
"8_Q1373","What is the answer to 3 x 2?"
"8_Q1374","What is the answer to 3 x 3?"
"8_Q1375","What is the answer to 3 x 4?"
"8_Q1376","What is the answer to 3 x 5?"
"8_Q1377","What is the answer to 3 x 6?"
"8_Q1378","What is the answer to 3 x 7?"
"8_Q1379","What is the answer to 3 x 8?"
"8_Q1380","What is the answer to 3 x 9?"
"8_Q1381","What is the answer to 3 x 10?"
"8_Q1382","What is the answer to 3 x 11?"
"8_Q1383","What is the answer to 3 x 12?"
"8_Q1384","Would you like to continue practicing the 3 times table?"
"9_Q1372","What is the answer to 3 x 1?"
"9_Q1373","What is the answer to 3 x 2?"
"9_Q1374","What is the answer to 3 x 3?"
"9_Q1375","What is the answer to 3 x 4?"
"9_Q1376","What is the answer to 3 x 5?"
"9_Q1377","What is the answer to 3 x 6?"
"9_Q1378","What is the answer to 3 x 7?"
"9_Q1379","What is the answer to 3 x 8?"
"9_Q1380","What is the answer to 3 x 9?"
"9_Q1381","What is the answer to 3 x 10?"
"9_Q1382","What is the answer to 3 x 11?"
"9_Q1383","What is the answer to 3 x 12?"
"9_Q1384","Would you like to continue practicing the 3 times table?"
"10_Q1372","What is the answer to 3 x 1?"
"10_Q1373","What is the answer to 3 x 2?"
"10_Q1374","What is the answer to 3 x 3?"
"10_Q1375","What is the answer to 3 x 4?"
"10_Q1376","What is the answer to 3 x 5?"
"10_Q1377","What is the answer to 3 x 6?"
"10_Q1378","What is the answer to 3 x 7?"
"10_Q1379","What is the answer to 3 x 8?"
"10_Q1380","What is the answer to 3 x 9?"
"10_Q1381","What is the answer to 3 x 10?"
"10_Q1382","What is the answer to 3 x 11?"
"10_Q1383","What is the answer to 3 x 12?"
"10_Q1384","Would you like to continue practicing the 3 times table?"
"11_Q1372","What is the answer to 3 x 1?"
"11_Q1373","What is the answer to 3 x 2?"
"11_Q1374","What is the answer to 3 x 3?"
"11_Q1375","What is the answer to 3 x 4?"
"11_Q1376","What is the answer to 3 x 5?"
"11_Q1377","What is the answer to 3 x 6?"
"11_Q1378","What is the answer to 3 x 7?"
"11_Q1379","What is the answer to 3 x 8?"
"11_Q1380","What is the answer to 3 x 9?"
"11_Q1381","What is the answer to 3 x 10?"
"11_Q1382","What is the answer to 3 x 11?"
"11_Q1383","What is the answer to 3 x 12?"
"11_Q1384","Would you like to continue practicing the 3 times table?"
"12_Q1372","What is the answer to 3 x 1?"
"12_Q1373","What is the answer to 3 x 2?"
"12_Q1374","What is the answer to 3 x 3?"
"12_Q1375","What is the answer to 3 x 4?"
"12_Q1376","What is the answer to 3 x 5?"
"12_Q1377","What is the answer to 3 x 6?"
"12_Q1378","What is the answer to 3 x 7?"
"12_Q1379","What is the answer to 3 x 8?"
"12_Q1380","What is the answer to 3 x 9?"
"12_Q1381","What is the answer to 3 x 10?"
"12_Q1382","What is the answer to 3 x 11?"
"12_Q1383","What is the answer to 3 x 12?"
"12_Q1384","Would you like to continue practicing the 3 times table?"
"13_Q1372","What is the answer to 3 x 1?"
"13_Q1373","What is the answer to 3 x 2?"
"13_Q1374","What is the answer to 3 x 3?"
"13_Q1375","What is the answer to 3 x 4?"
"13_Q1376","What is the answer to 3 x 5?"
"13_Q1377","What is the answer to 3 x 6?"
"13_Q1378","What is the answer to 3 x 7?"
"13_Q1379","What is the answer to 3 x 8?"
"13_Q1380","What is the answer to 3 x 9?"
"13_Q1381","What is the answer to 3 x 10?"
"13_Q1382","What is the answer to 3 x 11?"
"13_Q1383","What is the answer to 3 x 12?"
"13_Q1384","Would you like to continue practicing the 3 times table?"
"14_Q1372","What is the answer to 3 x 1?"
"14_Q1373","What is the answer to 3 x 2?"
"14_Q1374","What is the answer to 3 x 3?"
"14_Q1375","What is the answer to 3 x 4?"
"14_Q1376","What is the answer to 3 x 5?"
"14_Q1377","What is the answer to 3 x 6?"
"14_Q1378","What is the answer to 3 x 7?"
